Text,X,Y,Z,Floor
신학연구동,292.5419593717078,926.9355359360072,0.0,1F
163 화장실,660.903979690537,634.1954394366259,0.0,1F
교수휴게실,832.8481529414282,244.8163451680667,0.0,1F
공과대학행정팀,827.2553720831029,238.75026514931835,0.0,1F
공과대학장,832.8481529414282,226.78136624374756,0.0,1F
공과대학행정팀,883.5255942074514,238.75026514931835,0.0,1F
공과대학장,889.1183750657768,226.78136624374756,0.0,1F
100-A,744.8711958976077,521.341695889847,0.0,1F
교수연구실,656.88878363921,749.3712662233628,0.0,1F
공과대학행정팀,651.4484325447363,743.3106018886515,0.0,1F
교수연구실,656.88878363921,786.8339245414644,0.0,1F
공과대학행정팀,651.4484325447363,780.7732602067531,0.0,1F
교수연구실,656.88878363921,824.2966619206468,0.0,1F
공과대학행정팀,651.4484325447363,818.3883087581657,0.0,1F
공과대학 교우회,650.3603148891932,674.2934802927676,0.0,1F
공과대학행정팀,651.4484325447363,668.3906218754046,0.0,1F
공과대학장,656.88878363921,656.2640356441069,0.0,1F
교수연구실,761.3447580059604,824.2966619206468,0.0,1F
공과대학행정팀,755.7519771476357,818.3883087581657,0.0,1F
교수연구실,761.3447580059604,786.8339245414644,0.0,1F
공과대학행정팀,755.7519771476357,780.7732602067531,0.0,1F
교수연구실,761.3447580059604,749.3712662233628,0.0,1F
공과대학행정팀,755.7519771476357,743.3106018886515,0.0,1F
교수연구실,656.88878363921,863.1574363922488,0.0,1F
공과대학행정팀,651.4484325447363,857.0913959040408,0.0,1F
교수연구실,761.3447580059604,863.1574363922488,0.0,1F
공과대학행정팀,755.7519771476357,857.0913959040408,0.0,1F
행정실 및 PBL라운지,644.919884733639,711.913904997677,0.0,1F
융합에너지공학과,648.6519630544934,705.8478645094693,0.0,1F
차세대통신학과 행정실,746.4271179684564,693.1064993135919,0.0,1F
공과대학행정팀,755.7519771476357,687.0403402337627,0.0,1F
공과대학행정팀,1054.9747660312303,282.58366536116904,0.0,1F
공과대학장,1060.4151961867842,270.6147664555982,0.0,1F
연구부학장실,905.2872357685874,349.27228988691184,0.0,1F
공과대학행정팀,902.4854691859287,343.3639762549714,0.0,1F
사업부학장실,995.7504266214521,367.92202801054015,0.0,1F
