Floor,POI_Name,Position_X,Position_Y,Position_Z
B1F,전산실습실,1589.058,-57.916,1465.304
B1F,일반물리학실험실,1691.000,-57.916,1505.200
B1F,일반물리학실험실,1788.100,-57.916,1505.200
B1F,중강의실,1954.600,-57.916,1493.200
B1F,송무현강의실,1954.600,-57.916,1307.600
B1F,일반물리학실험실,1954.600,-57.916,1164.500
B1F,중강의실,1954.600,-57.916,1049.400
B1F,중강의실,1954.600,-57.916,895.700
B1F,화장실,1803.700,-57.916,929.000
B1F,화장실,1803.700,-57.916,1379.500
B1F,일반물리학실험실,1803.700,-57.916,824.400
B1F,일반물리학실험실,1707.900,-57.916,824.400
B1F,전산실습실,1587.600,-57.916,861.500
B1F,ActiveLearningStudio,1587.600,-57.916,1101.400
B1F,ActiveLearningStudio,1587.600,-57.916,1213.000
B1F,말레이시아기도실,1570.800,-57.916,1306.300
B1F,공학교육혁신센터,1570.800,-57.916,1010.600
1F,공동연구실,1843.274,-3.316,957.300
1F,고시실,1843.274,-3.316,873.400
1F,연구실,1843.274,-3.316,810.900
1F,실험실습실,1590.700,-3.316,811.400
1F,전기전자공학부실험실,1590.700,-3.316,929.500
1F,동아리실,1575.100,-3.316,1019.000
1F,동아리실,1575.100,-3.316,1306.300
1F,전기전자공학부실험실,1590.700,-3.316,1101.200
1F,전기전자공학부실험실,1590.700,-3.316,1217.000
1F,전기전자공학부실험실,1590.700,-3.316,1374.900
1F,화장실,1719.100,-3.316,1400.300
1F,화장실,1711.900,-3.316,897.000
1F,전기전자공학부실험실,1590.700,-3.316,1454.800
1F,학부서버실,1668.800,-3.316,1465.800
1F,컴퓨터서버실,1668.800,-3.316,1531.300
1F,방재센터,1724.900,-3.316,1531.300
1F,전자기기및전력전자실험실,1839.200,-3.316,1509.200
1F,공동연구실,1839.200,-3.316,1396.500
1F,MDF,1724.900,-3.316,1465.800
1F,전기전자공학부실험준비실,1590.700,-3.316,1530.300
2F,인지모델연구실,1842.900,31.366,808.800
2F,인지모델연구실,1707.200,31.366,814.500
2F,인지모델연구실,1707.200,31.366,860.900
2F,인간공학실험실,1707.200,31.366,1497.000
2F,컴퓨터실습실,1593.300,31.366,1501.100
2F,전산실습실,1583.200,31.366,1393.300
2F,생산시스템실험실,1583.200,31.366,1283.100
2F,산업경영공학부실험실,1583.200,31.366,1176.200
2F,데이터사이언스연구실,1583.200,31.366,1072.600
2F,전산실습실,1583.200,31.366,964.100
2F,강의실,1594.000,31.366,847.100
2F,화장실,1722.400,31.366,906.700
2F,화장실,1722.400,31.366,1406.200
2F,공급사슬및가치망분석연구실,1842.300,31.366,856.600
2F,공급사슬및가치망분석연구실,1842.300,31.366,890.100
2F,데이터사이언스융합데이터분석연구실,1842.300,31.366,927.300
2F,데이터마이닝및품질관리연구실,1842.300,31.366,962.000
2F,데이터마이닝및품질관리연구실,1842.300,31.366,1017.500
2F,물류교통정보시스템연구실,1842.300,31.366,1089.500
2F,지능시스템설계연구실,1842.300,31.366,1160.800
2F,지능정보시스템연구실,1842.300,31.366,1230.300
2F,생산시스템경영연구실,1842.300,31.366,1305.500
2F,최적화연구실,1842.300,31.366,1360.300
2F,Informatics,1842.300,31.366,1394.700
2F,융합데이터분석연구실,1842.300,31.366,1430.400
2F,융합데이터분석연구실,1842.300,31.366,1467.400
2F,인간공학실험준비실,1842.300,31.366,1503.100
2F,인간공학디자인연구실,1842.300,31.366,1536.900
3F,지반공학연구실,1576.315,66.047,800.615
3F,지반공학연구실,1582.100,66.047,877.900
3F,건축사회환경공학부세미나실,1582.100,66.047,952.700
3F,위험물창고,1582.100,66.047,1085.600
3F,이디엔씨세미나실,1582.100,66.047,1162.100
3F,세미나실,1582.100,66.047,1230.500
3F,에너지재료연구실,1582.100,66.047,1385.100
3F,에너지변환소재소자연구실,1582.100,66.047,1462.200
3F,ACELab.,1582.100,66.047,1526.100
3F,환경재료촉매연구실,1675.900,66.047,1526.100
3F,환경재료촉매연구실,1675.900,66.047,1467.700
3F,AOP시스템연구실,1737.500,66.047,1467.700
3F,AOP시스템연구실,1737.500,66.047,1526.100
3F,학부모형제작실,1812.100,66.047,1517.600
3F,NOVEL구조연구실,1874.300,66.047,1517.600
3F,증강가상현실실험실,1838.000,66.047,1448.900
3F,건축사회환경공학부실험실,1904.700,66.047,1448.900
3F,지하공간지반시스템연구실,1857.400,66.047,1375.300
3F,블루워터클러스터,1857.400,66.047,1088.300
3F,휴게홀,1857.400,66.047,1228.000
3F,스터디름,1740.100,66.047,1097.200
3F,83학번스터디룸,1676.100,66.047,1097.200
3F,84학번스터디룸,1676.100,66.047,1047.400
3F,정규문스터디룸,1740.100,66.047,1047.400
3F,ACELab.,1857.400,66.047,1013.900
3F,학부건설재료실험실,1832.600,66.047,945.400
3F,건설재료실험실,1896.500,66.047,945.400
3F,건설인재양성사업단,1889.300,66.047,892.600
3F,ACELab.,1821.500,66.047,892.600
3F,구조물성능평가연구실,1871.700,66.047,854.800
3F,구조물안정론연구실,1857.300,66.047,807.800
3F,ACELab.,1737.900,66.047,828.000
3F,스마트콘CNS솔루션연구실,1681.800,66.047,828.000
3F,화장실,1721.700,66.047,1402.200
3F,화장실,1721.700,66.047,908.500
4F,공동연구실,1577.610,100.729,810.700
4F,컴파일러및마이크로아키텍쳐연구실,1577.610,100.729,879.900
4F,공동연구실,1577.610,100.729,956.900
4F,멀티미디어정보연구실,1577.610,100.729,1019.900
4F,무선네트워크응용연구실,1577.610,100.729,1088.100
4F,고성능/지능형컴퓨팅연구실,1577.610,100.729,1160.400
4F,복잡데이터분석연구실,1577.610,100.729,1231.700
4F,실시간시뮬레이터룸,1577.610,100.729,1304.000
4F,초고속집적시스템연구실,1577.610,100.729,1374.200
4F,인지로봇연구실,1577.610,100.729,1432.600
4F,공동연구실,1577.610,100.729,1465.100
4F,RF회로및시스템연구실,1577.610,100.729,1536.400
4F,RF회로및시스템연구실,1564.700,100.729,1500.200
4F,공조실,1709.300,100.729,1500.200
4F,화장실,1714.600,100.729,1401.000
4F,화장실,1714.600,100.729,905.900
4F,차세대전자소자및에너지변환시스템연구실,1736.200,100.729,833.600
4F,컴퓨터비전연구실,1677.600,100.729,833.600
4F,융합회로설계연구실,1731.500,100.729,1074.300
4F,전기전자공학부세미나실,1676.100,100.729,1101.200
4F,전기전자공학부세미나실,1676.100,100.729,1047.900
4F,지능처리신호연구실,1838.900,100.729,1521.400
4F,지능영상처리연구실,1838.900,100.729,1446.500
4F,전력시스템기술연구소,1838.900,100.729,1376.800
4F,나노전자공학연구실,1838.900,100.729,1301.800
4F,미디어통신연구실,1838.900,100.729,1231.100
4F,지능미디어연구실,1838.900,100.729,1158.800
4F,집적회로최적화연구실,1838.900,100.729,1085.900
4F,VLS신호처리연구실,1838.900,100.729,1013.600
4F,집적시스템연구실,1838.900,100.729,942.300
4F,공동연구실,1838.900,100.729,878.700
4F,인공지능정보시스템공학연구실WISELAB,1838.900,100.729,810.100
5F,교수연구실,1546.400,135.349,769.900
5F,교수연구실,1588.500,135.349,769.900
5F,교수연구실,1628.700,135.349,769.900
