filename,floor,text,category,center_x,center_y
1F-autosync.dxf,1,숙직실,lounge,80780.0,17770.0
1F-autosync.dxf,1,학생휴게실,lounge,12550.0,40020.0
1F-autosync.dxf,1,PS실,ps,64860.0,30760.0
1F-autosync.dxf,1,계단실,stair,20050.0,33450.0
1F-autosync.dxf,1,계단실,stair,16830.0,33660.0
1F-autosync.dxf,1,강의실,lecture,25660.0,19960.0
1F-autosync.dxf,1,여자화장실,restroom,33090.0,19950.0
1F-autosync.dxf,1,남자화장실,restroom,36960.0,19510.0
1F-autosync.dxf,1,강의실,lecture,50960.0,19960.0
1F-autosync.dxf,1,장애인화장실(남),restroom,61770.0,29280.0
1F-autosync.dxf,1,PS실,ps,67160.0,29260.0
1F-autosync.dxf,1,PS실,ps,71170.0,29260.0
1F-autosync.dxf,1,계단실,stair,69170.0,33370.0
1F-autosync.dxf,1,남자화장실,restroom,63110.0,34310.0
1F-autosync.dxf,1,PS실,ps,61970.0,35760.0
1F-autosync.dxf,1,방풍실,misc,59720.0,35460.0
1F-autosync.dxf,1,ELEV실,elevator,76320.0,31260.0
1F-autosync.dxf,1,여자화장실,restroom,82510.0,31340.0
1F-autosync.dxf,1,PS실,ps,80900.0,31540.0
1F-autosync.dxf,1,PS실,ps,80870.0,35760.0
1F-autosync.dxf,1,ELEV실,elevator,83920.0,35760.0
1F-autosync.dxf,1,전산실습실,lab,87240.0,26350.0
1F-autosync.dxf,1,방재실/관리실,misc,81730.0,22540.0
1F-autosync.dxf,1,메카트로닉스/필드로봇연구실Ⅰ,lab,67020.0,45140.0
1F-autosync.dxf,1,기계공학부,ps,71520.0,46040.0
1F-autosync.dxf,1,강의실,lecture,84520.0,43370.0
1F-autosync.dxf,1,방풍실,misc,68870.0,16810.0
1F-autosync.dxf,1,계단강의실,lecture,51950.0,33190.0
1F-autosync.dxf,1,계단강의실,lecture,29260.0,37710.0
2F-autosync.dxf,2,기계공학부 기계공학부 CAD실,ps,36450.0,32980.0
2F-autosync.dxf,2,부원장실,office,87880.0,19950.0
2F-autosync.dxf,2,세미나실,seminar,87300.0,26200.0
2F-autosync.dxf,2,강의실,lecture,32850.0,25800.0
2F-autosync.dxf,2,기술경영전문대학원행정실,office,82480.0,20390.0
2F-autosync.dxf,2,강의실,lecture,47250.0,25800.0
2F-autosync.dxf,2,독서실,lounge,56260.0,21280.0
2F-autosync.dxf,2,강의실,lecture,18550.0,25800.0
2F-autosync.dxf,2,부속실,office,82480.0,25200.0
2F-autosync.dxf,2,세미나실,seminar,57960.0,32980.0
2F-autosync.dxf,2,동작분석실,lab,50860.0,32980.0
2F-autosync.dxf,2,기계공학부,ps,50860.0,32980.0
2F-autosync.dxf,2,지능 sys 및 로보틱스 연구실 Ⅱ,lab,20150.0,32980.0
2F-autosync.dxf,2,기계공학부,ps,23850.0,32980.0
2F-autosync.dxf,2,인간기계시스템연구실Ⅰ,ps,17600.0,33910.0
2F-autosync.dxf,2,기계공학부,ps,20150.0,32980.0
2F-autosync.dxf,2,계단실,stair,16700.0,34000.0
2F-autosync.dxf,2,PS실,ps,64400.0,30450.0
2F-autosync.dxf,2,PS실,ps,83890.0,35740.0
2F-autosync.dxf,2,계단실,stair,69160.0,32980.0
2F-autosync.dxf,2,ELEV실,elevator,80860.0,35740.0
2F-autosync.dxf,2,방풍실,misc,73870.0,40270.0
2F-autosync.dxf,2,ELEV실,elevator,77560.0,31260.0
2F-autosync.dxf,2,PS실,ps,80410.0,31260.0
2F-autosync.dxf,2,화장실(여),restroom,82980.0,31490.0
2F-autosync.dxf,2,PS실,ps,61960.0,35740.0
2F-autosync.dxf,2,남자화장실,restroom,62820.0,33950.0
3F-autosync.dxf,3,연구교수연구실/정보통신 Testbed실,office,85070.0,21280.0
3F-autosync.dxf,3,기계공학부 세미나실,ps,75960.0,21170.0
3F-autosync.dxf,3,기계공학부,ps,79670.0,21280.0
3F-autosync.dxf,3,기계공학부 기계공학부 세미나실,ps,85070.0,21280.0
3F-autosync.dxf,3,나노바이오유체시스템연구실Ⅰ,lab,56260.0,31590.0
3F-autosync.dxf,3,기계공학부,ps,59740.0,31590.0
3F-autosync.dxf,3,바이오나노진동시스템연구실Ⅰ,lab,52660.0,31590.0
3F-autosync.dxf,3,기계공학부,ps,56260.0,31590.0
3F-autosync.dxf,3,기계공학부 에너지시스템 및 터보기계 연구실,ps,49060.0,31590.0
3F-autosync.dxf,3,기계공학부,ps,52660.0,31590.0
3F-autosync.dxf,3,정밀기술연구실,lab,49060.0,31590.0
3F-autosync.dxf,3,냉동공조 및 이상유동 연구실,lab,41860.0,31590.0
3F-autosync.dxf,3,기계공학부,ps,45460.0,31590.0
3F-autosync.dxf,3,냉동공조 및 이상유동 연구실Ⅱ,lab,38260.0,31590.0
